Full Name,Date of Birth,Country of Origin,Prior Arrests,List of Charges,Pending Warrants
Jameson Reed,1985-05-12,United States,2,"Shoplifting; Public Intoxication",No
Elena Rodriguez,1992-11-03,Mexico,0,None,No
Marcus Thorne,1978-01-25,Canada,4,"Burglary; Possession of Controlled Substance; Assault",Yes
Saanvi Patel,2001-07-14,India,1,Speeding (Criminal),No
Liam O'Connor,1989-03-30,Ireland,0,None,No
Chen Wei,1995-12-09,China,2,"Fraud; Identity Theft",Yes
Amara Okafor,1982-08-21,Nigeria,0,None,No
Lucas Meyer,1974-06-17,Germany,3,"DUI; Reckless Driving",No
Sofia Conti,1998-02-11,Italy,1,Vandalism,No
Dmitri Volkov,1980-10-05,Russia,5,"Grand Theft Auto; Possession of Weapon",Yes
Alistair Vance,1972-04-12,United Kingdom,3,"Trespassing; Harassment",No
Xiuying Zhang,1990-09-28,China,0,None,No
Mateo Villanueva,1985-11-30,Philippines,1,Reckless Endangerment,No
Siobhan Murphy,1993-02-14,Ireland,0,None,No
Kofi Mensah,1988-07-05,Ghana,2,"Tax Evasion; Forgery",Yes
Beatrix Von Heisler,1965-12-01,Germany,0,None,No
Santiago Morales,1999-05-22,Colombia,4,"Aggravated Assault; Grand Larceny",Yes
Fatima Al-Sayed,1991-08-19,Egypt,0,None,No
Hiroshi Tanaka,1977-03-11,Japan,1,Public Nuisance,No
Ingrid Sjoberg,1982-10-25,Sweden,0,None,No
Dante Moretti,1994-06-08,Italy,2,"Illegal Gambling; Bookmaking",No
Lars Nielsen,1970-01-15,Denmark,6,"Arson; Criminal Mischief; Burglary",Yes
Anika Sharma,1987-11-12,India,0,None,No
Thierry Dubois,1983-04-29,France,1,Disturbing the Peace,No
Valentina Rossi,1996-02-28,Italy,0,None,No
Oleg Kuznetsov,1979-12-05,Russia,3,"Extortion; Racketeering",Yes
Priya Bakshi,1992-05-17,India,0,None,No
Caleb Whitlock,2001-09-09,Australia,1,Unlawful Assembly,No
Elowen Trewin,1988-10-31,United Kingdom,0,None,No
Rafael Santos,1995-07-20,Brazil,5,"Drug Trafficking; Money Laundering",Yes
Yuna Kim,1997-12-14,South Korea,0,None,No
Gideon Cross,1980-08-03,United States,2,"Stalking; Violation of Restraining Order",No
Amara Diallo,1994-03-25,Senegal,0,None,No
Kenji Sato,1968-11-18,Japan,1,Embezzlement,No
Maja Novak,1991-06-07,Slovenia,0,None,No
Bjorn Ironside,1984-02-22,Norway,3,"DUI; Destruction of Property",No
Elena Vance,1990-01-10,Canada,0,None,No
Zuberi Juma,1989-05-05,Kenya,1,Bribery,No
Clara Oswald,1986-11-23,United Kingdom,0,None,No
Mikhail Sokolov,1975-04-14,Russia,7,"Armed Robbery; Kidnapping; Manslaughter",Yes
Leila Haddad,1998-09-02,Lebanon,0,None,No
Jackson Miller,1993-12-19,United States,2,"Petty Theft; Simple Battery",No
Sanya Kaur,1984-08-27,India,0,None,No
Hugo Ferreira,1977-10-13,Portugal,1,Copyright Infringement,No
Nadia Volkov,1992-03-30,Ukraine,0,None,No
Felix Baum,1981-05-15,Austria,2,Industrial Espionage,Yes
Ximena Ortiz,1996-07-07,Mexico,0,None,No
Tariq Aziz,1988-11-11,Iraq,1,Visa Fraud,No
Evelyn Thorne,1973-06-21,United States,0,None,No
Malik Williams,2002-01-04,Jamaica,3,"Loitering; Resisting Arrest",No
Hanna Lindström,1995-12-25,Finland,0,None,No
Arthur Shelby,1979-02-09,United Kingdom,4,"Illegal Firearm Possession; Assault",Yes
Noor Jahan,1991-04-18,Pakistan,0,None,No
Silas Vane,1985-09-30,Canada,1,Cyber Harassment,No
Min-ho Park,1994-10-02,South Korea,0,None,No
Seraphina Blackwood,1982-03-13,United States,2,Animal Neglect,No
Dimitri Petrov,1978-08-26,Bulgaria,6,"Identity Theft; Wire Fraud",Yes
Aisha Bello,1993-07-14,Nigeria,0,None,No
Gunnar Sigurdsson,1980-05-05,Iceland,1,Illegal Fishing,No
Rosa Mendez,1997-11-19,Spain,0,None,No
Callum MacLeod,1989-12-31,Scotland,2,Poaching,No
Mei Ling,1992-06-12,Taiwan,0,None,No
Dominic Toretto,1976-08-29,United States,5,"Grand Theft Auto; Street Racing",Yes
Zoya Ivanova,1995-04-20,Russia,1,Prostitution,No
Ahmed Mansour,1983-10-10,UAE,0,None,No
Siaosi Funa,2000-02-15,Tonga,2,Affray,No
Freja Eriksen,1994-09-09,Denmark,0,None,No
Luigi Vampa,1962-05-13,Italy,8,"Highway Robbery; Smuggling",Yes
Pippa Middleton,1984-09-06,United Kingdom,0,None,No
Ezra Bridger,2002-05-04,United States,1,Trespassing,No
Yara Greyjoy,1988-03-17,United Kingdom,3,"Piracy; Theft",No
Bodhi Rook,1991-01-22,United Kingdom,1,Contraband Possession,No
Saffron Burrows,1972-10-22,United Kingdom,0,None,No
Victor Frankenstein,1960-01-01,Switzerland,1,Grave Robbing,Yes
Hester Prynne,1980-06-06,United States,1,Adultery (Historical/Civil),No
Holden Caulfield,1996-12-20,United States,0,None,No
Atticus Finch,1970-04-04,United States,0,None,No
Lisbeth Salander,1984-04-30,Sweden,4,"Hacking; Breaking and Entering",Yes
Patrick Bateman,1981-10-23,United States,0,None,No
Winston Smith,1974-04-04,United Kingdom,2,"Thoughtcrime; Sedition",Yes
Gregor Samsa,1983-07-03,Czech Republic,0,None,No
Daisy Buchanan,1992-05-10,United States,1,Hit and Run,No
Jay Gatsby,1980-09-01,United States,3,"Bootlegging; Securities Fraud",Yes
Sherlock Holmes,1964-01-06,United Kingdom,1,Illegal Substance Use,No
Irene Adler,1988-05-01,United States,2,Blackmail,No
James Moriarty,1966-11-12,Ireland,10,"Conspiracy; Murder-for-Hire",Yes
Dorian Gray,1968-07-20,United Kingdom,0,None,No
Jean Valjean,1965-02-14,France,1,Theft (Bread),No
Inspector Javert,1962-10-01,France,0,None,No
Fantine Thibault,1989-03-03,France,1,Solicitation,No
Cosette Fauchelevent,2001-12-25,France,0,None,No
Rodion Raskolnikov,1994-05-05,Russia,1,Homicide,Yes
Sonia Marmeladova,1996-11-11,Russia,1,Solicitation,No
Ivan Karamazov,1982-01-01,Russia,0,None,No
Alyosha Karamazov,1990-02-02,Russia,0,None,No
Anna Karenina,1985-03-18,Russia,1,Adultery (Historical/Civil),No
Count Vronsky,1980-04-12,Russia,0,None,No
Konstantin Levin,1987-08-08,Russia,0,None,No
Emma Bovary,1989-09-09,France,1,"Fraud; Debtor Conviction",No
Charles Bovary,1984-10-10,France,0,None,No
George Knightley,1975-01-01,United Kingdom,0,None,No
Emma Woodhouse,1996-02-02,United Kingdom,0,None,No
Elizabeth Bennet,1992-03-03,United Kingdom,0,None,No
Fitzwilliam Darcy,1988-04-04,United Kingdom,0,None,No
Jane Eyre,1985-05-05,United Kingdom,0,None,No
Edward Rochester,1978-06-06,United Kingdom,1,Bigamy (Attempted),No
Heathcliff Earnshaw,1974-07-07,United Kingdom,2,"Harassment; Land Grab",No
Catherine Earnshaw,1977-08-08,United Kingdom,0,None,No
Pip Pirrip,1991-09-09,United Kingdom,0,None,No
Estella Havisham,1993-10-10,United Kingdom,0,None,No
Humbert Humbert,1965-06-15,Switzerland,1,"Abduction; Lewd Acts",Yes
Lolita Haze,1998-01-01,United States,0,None,No
Clare Quilty,1970-05-12,United States,1,"Plagiarism; Extortion",No
Sal Paradise,1982-03-12,United States,2,"Vagrancy; Possession of Marijuana",No
Dean Moriarty,1980-02-28,United States,5,"Grand Theft Auto; Reckless Driving",Yes
Marylou Higgins,1985-04-10,United States,0,None,No
Old Bull Lee,1964-11-20,United States,1,Drug Paraphernalia,No
Camille Desmoulins,1988-03-02,France,2,"Inciting Riot; Sedition",No
Maximilien Robespierre,1975-05-06,France,3,"Capital Crimes; Tyranny",Yes
Georges Danton,1970-10-26,France,1,Financial Corruption,No
Charlotte Corday,1993-07-27,France,1,Assassination,Yes
Jean-Paul Marat,1963-05-24,Switzerland,1,Libel,No
Napoleon Bonaparte,1969-08-15,France,4,"War Crimes; Desertion",Yes
Josephine Beauharnais,1973-06-23,Martinique,0,None,No
Arthur Rimbaud,1974-10-20,France,1,Vagrancy,No
Paul Verlaine,1964-03-30,France,1,Attempted Murder,No
Oscar Wilde,1964-10-16,Ireland,1,Gross Indecency (Historical),No
Lord Alfred Douglas,1970-10-22,United Kingdom,0,None,No
